Name,Goals,Assists,Minutes,Solo runs into attacking third,Solo runs into key area,Solo runs into penalty area,Deliveries into attacking third,Deliveries into a key area,Deliveries into penalty area,Total attempts,On target,Red cards,Yellow cards,Fouls committed,Tackles,Blocks
Mats Hummels,0,0,390,10,5,0,28,7,3,2,0,0,2,5,6,2
Milan Badelj,0,0,390,3,5,0,12,2,0,4,1,0,1,4,0,6
Vedran Ćorluka,0,0,390,1,0,0,16,4,1,0,0,0,0,0,6,1
Johan Djourou,0,0,390,0,0,0,10,5,0,3,1,0,1,3,1,3
Darijo Srna,0,0,390,10,3,0,20,10,13,4,0,0,1,3,4,1
Stephan Lichtsteiner,0,0,390,4,0,0,30,3,9,2,1,0,0,2,0,1
Marco Parolo,0,0,390,5,1,1,20,8,4,4,0,0,1,7,2,2
Joshua Kimmich,0,0,390,3,14,2,20,23,11,5,0,0,1,7,1,1
Granit Xhaka,0,0,390,0,1,0,49,14,5,4,0,0,1,6,3,0
Ricardo Rodríguez,0,0,390,10,8,2,17,7,11,9,3,0,0,4,1,0
Łukasz Piszczek,0,0,420,7,8,3,19,11,1,4,0,0,1,4,1,3
Benedikt Höwedes,0,0,422,7,1,0,30,9,5,1,0,0,0,4,3,3
Aron Gunnarsson,0,0,425,1,0,1,23,4,11,1,1,0,1,14,0,4
José Fonte,0,0,450,0,0,0,5,3,0,3,2,0,1,2,2,2
Birkir Sævarsson,0,0,450,5,1,1,8,3,2,1,0,0,1,5,3,5
Ben Davies,0,0,450,4,1,0,9,2,0,0,0,0,2,3,2,8
Cédric,0,0,450,9,1,0,28,7,7,2,0,0,1,3,2,2
Andrea Barzagli,0,0,480,2,1,0,5,3,0,0,0,0,1,3,0,1
Artur Jędrzejczyk,0,0,510,7,2,0,27,11,5,0,0,0,2,5,2,1
Kamil Glik,0,0,510,0,0,0,12,6,2,2,0,0,1,4,1,7
Grzegorz Krychowiak,0,0,510,8,5,1,28,6,1,2,0,0,0,3,0,4
Michał Pazdan,0,0,510,0,0,0,6,1,0,2,0,0,1,6,5,8
William Carvalho,0,0,516,4,3,0,41,17,2,1,1,0,3,8,0,0
James Chester,0,0,540,2,2,0,11,2,0,3,0,0,2,5,4,1
Pepe,0,0,630,3,2,0,28,8,2,4,2,0,1,4,2,7
Laurent Koscielny,0,0,642,0,0,0,7,4,1,4,0,0,2,4,2,6
Patrice Evra,0,0,660,13,0,1,53,21,13,1,0,0,1,10,1,2
