Name,Goals,Assists,Minutes,Solo runs into attacking third,Solo runs into key area,Solo runs into penalty area,Deliveries into attacking third,Deliveries into a key area,Deliveries into penalty area,Total attempts,On target,Red cards,Yellow cards,Fouls committed,Tackles,Blocks
Kevin De Bruyne,0,2,450,10,14,5,28,17,21,22,10,0,0,5,0,1
Eren Derdiyok,0,1,50,0,1,0,1,1,0,3,1,0,0,0,0,0
Tamás Priskin,0,1,87,0,0,1,3,1,0,1,0,0,0,4,0,0
Emre Mor,0,1,90,4,3,1,0,2,0,2,0,0,0,0,0,0
Simone Zaza,0,1,121,0,1,0,1,0,0,1,0,0,1,9,0,0
Matteo Darmian,0,1,128,3,4,2,5,4,0,0,0,0,0,0,1,0
László Kleinheisler,0,1,170,5,4,2,8,4,4,7,2,0,1,4,0,0
Tomáš Rosický,0,1,178,5,6,0,9,0,2,0,0,0,0,3,3,0
Antonio Candreva,0,1,180,1,2,1,3,4,3,3,2,0,0,0,1,0
Ledian Memushaj,0,1,180,2,1,0,6,3,8,7,2,0,1,1,1,0
Oleg Shatov,0,1,180,5,7,0,6,6,6,2,0,0,0,3,0,0
Georgi Schennikov,0,1,180,1,1,0,8,0,2,0,0,0,1,2,1,0
André-Pierre Gignac,0,1,204,3,7,6,0,3,2,12,3,0,0,1,0,0
N'Golo Kanté,0,1,244,2,3,0,16,12,1,3,0,0,3,8,1,1
David Alaba,0,1,245,6,5,0,12,8,4,9,2,0,0,0,2,1
Róbert Mak,0,1,260,5,4,3,6,5,2,5,2,0,1,1,0,0
Mehmet Topal,0,1,270,0,0,0,4,1,1,0,0,0,0,1,0,1
Zlatan Ibrahimović,0,1,270,6,6,1,6,7,2,12,1,0,0,6,0,0
André Gomes,0,1,294,4,4,1,12,6,3,6,2,0,0,5,0,1
Marcelo Brozović,0,1,300,8,6,1,7,6,6,9,1,0,1,8,0,0
Dele Alli,0,1,300,13,13,3,15,17,7,12,0,0,0,3,0,0
Stuart Dallas,0,1,315,1,1,1,10,2,4,3,3,0,2,6,2,1
Cesc Fàbregas,0,1,315,12,15,1,34,32,10,2,0,0,0,6,0,1
João Moutinho,0,1,318,7,2,0,33,20,6,3,1,0,0,5,0,1
Oliver Norwood,0,1,349,1,1,0,13,4,9,2,2,0,0,7,4,2
Jordi Alba,0,1,351,5,2,1,19,15,3,2,1,0,1,2,0,0
Adil Rami,0,1,360,1,0,0,13,4,1,0,0,0,2,4,0,2
Seamus Coleman,0,1,360,8,3,3,13,4,4,1,0,0,1,6,0,1
Thomas Meunier,0,1,360,14,7,2,18,19,5,4,0,0,1,4,2,3
Andrés Iniesta,0,1,360,19,12,2,48,28,15,6,3,0,0,0,1,0
Johann Gudmundsson,0,1,446,6,2,1,9,9,9,3,1,0,1,4,1,0
Ari Skúlason,0,1,450,2,1,0,18,6,2,1,0,0,1,4,1,0
Raphaël Guerreiro,0,1,510,10,5,2,27,15,13,3,1,0,1,3,1,0
Joe Allen,0,1,524,9,5,2,15,11,3,2,0,0,1,11,3,0
Chris Gunter,0,1,540,7,1,0,24,9,6,0,0,0,1,4,0,0
João Mário,0,1,562,20,15,1,18,21,8,8,0,0,1,15,2,0
Thomas Müller,0,1,570,8,14,3,10,13,5,19,7,0,0,9,0,0
Jonas Hector,0,1,570,9,2,1,21,32,9,3,0,0,0,3,0,1
Toni Kroos,0,1,570,19,19,2,136,60,16,15,4,0,0,5,3,0
Blaise Matuidi,0,1,583,13,6,3,34,19,7,4,1,0,1,8,0,3
Bacary Sagna,0,1,660,8,0,0,24,16,5,1,0,0,0,0,2,1
Paddy McNair,0,0,46,1,0,0,0,0,0,0,0,0,0,1,0,0
Josef Šural,0,0,46,0,1,0,0,3,0,0,0,0,1,2,0,0
Olcay Şahan,0,0,49,0,0,1,0,0,0,4,0,0,0,1,1,0
Bruno Soriano,0,0,56,1,0,0,9,8,0,2,1,0,0,0,0,0
Gelson Fernandes,0,0,56,0,0,0,3,2,0,0,0,0,0,3,0,0
Mousa Dembélé,0,0,57,3,2,0,4,3,0,0,0,0,0,3,0,1
Zlatko Junuzović,0,0,59,1,1,1,1,1,2,1,1,0,0,1,0,0
David Pavelka,0,0,59,0,0,0,1,0,2,0,0,0,1,3,0,0
Federico Bernardeschi,0,0,60,0,1,0,1,2,1,0,0,0,0,0,0,0
Shane Ferguson,0,0,66,2,0,0,5,1,0,0,0,0,0,0,0,1
Jiří Skalák,0,0,67,1,0,1,0,0,0,0,0,0,0,0,0,0
Emre Can,0,0,67,0,0,0,1,1,1,1,1,0,1,1,0,0
James Collins,0,0,67,0,0,0,1,0,0,0,0,0,0,0,0,1
Anthony Martial,0,0,68,2,3,2,2,1,1,4,1,0,0,1,0,0
Cenk Tosun,0,0,70,1,1,0,0,0,0,1,0,0,1,6,0,0
André Schürrle,0,0,71,0,1,0,3,0,2,2,0,0,0,0,0,0
Bořek Dočkal,0,0,71,3,2,2,5,1,2,0,0,0,0,0,1,0
Alfred Finnbogason,0,0,75,1,1,0,2,2,0,2,1,0,2,5,0,1
Jordan Lukaku,0,0,75,0,0,0,3,1,0,0,0,0,0,0,0,0
Laurent Ciman,0,0,76,4,0,0,16,4,1,1,0,0,0,0,2,1
Taulant Xhaka,0,0,77,1,0,0,1,0,1,1,0,0,0,0,0,1
Roman Shirokov,0,0,80,0,1,0,2,3,2,0,0,0,0,1,0,0
Marko Rog,0,0,82,1,1,0,1,0,1,1,0,0,1,3,0,0
David Lafata,0,0,82,1,1,0,1,0,0,2,0,0,0,1,0,0
Migjen Basha,0,0,83,1,1,0,1,0,0,2,1,0,1,2,1,0
Denis Alibec,0,0,86,1,2,0,1,1,0,3,1,0,0,4,0,0
Theodor Gebre Selassie,0,0,86,1,0,0,1,2,1,1,0,0,0,2,0,1
Aritz Aduriz,0,0,87,0,0,0,2,4,1,4,0,0,0,2,0,0
Ciro Immobile,0,0,89,4,4,0,1,1,1,2,1,0,0,4,0,0
Florin Andone,0,0,89,1,1,2,0,0,0,3,0,0,0,3,0,0
Jon Walters,0,0,89,0,0,0,0,1,0,1,0,0,0,1,0,0
Daniel Pudil,0,0,90,1,0,0,3,1,1,0,0,0,0,2,0,1
Olexandr Kucher,0,0,90,3,1,0,4,2,1,0,0,0,1,3,1,0
Claudiu Keșerü,0,0,90,0,0,0,3,1,0,4,2,0,1,3,0,0
Ruslan Rotan,0,0,90,1,1,0,13,5,0,1,1,0,1,4,2,0
Bruno Alves,0,0,90,0,0,0,4,0,0,0,0,0,1,3,1,0
Dmitri Kombarov,0,0,90,1,1,0,5,6,0,1,0,0,0,0,0,0
Alexandru Măţel,0,0,90,2,1,0,7,2,0,1,0,0,1,1,0,1
Ryan Bertrand,0,0,90,2,0,0,6,4,3,0,0,0,1,2,0,0
Jason Denayer,0,0,90,0,0,0,1,0,0,0,0,0,0,1,0,1
Attila Fiola,0,0,90,3,1,0,4,3,0,1,1,0,0,1,0,0
Tin Jedvaj,0,0,90,0,0,0,1,0,0,1,1,0,0,0,0,0
Nathaniel Clyne,0,0,90,2,1,0,2,12,4,1,1,0,0,0,0,0
İsmail Köybaşı,0,0,90,3,1,0,1,1,0,0,0,0,1,1,0,0
Angelo Ogbonna,0,0,90,0,0,0,5,2,0,0,0,0,0,3,0,1
Jordan Henderson,0,0,90,1,3,0,13,2,4,2,0,0,0,1,0,0
Mihály Korhut,0,0,90,0,0,0,1,0,0,0,0,0,0,2,1,0
Bohdan Butko,0,0,90,0,0,1,4,1,0,0,0,0,0,1,0,1
Conor McLaughlin,0,0,90,1,0,0,4,0,1,0,0,0,0,1,0,2
Šime Vrsaljko,0,0,91,2,0,0,4,0,0,0,0,0,1,1,0,1
Yohan Cabaye,0,0,91,0,0,0,2,2,0,1,0,0,0,3,3,1
Yevhen Seleznyov,0,0,95,0,0,0,0,1,0,2,1,0,1,2,0,0
Oscar Lewicki,0,0,97,1,0,0,2,1,0,0,0,0,0,1,0,0
Olexandr Zinchenko,0,0,97,3,3,0,6,3,1,5,1,0,0,0,0,1
Marko Pjaca,0,0,101,1,2,3,1,1,0,1,0,0,0,1,0,0
Milan Škriniar,0,0,102,1,1,1,2,0,1,1,0,0,0,2,0,3
Odise Roshi,0,0,105,4,2,0,0,1,1,0,0,0,0,0,0,0
Volkan Şen,0,0,106,3,3,0,1,1,1,1,0,0,1,4,0,0
Alexandru Chipciu,0,0,108,2,1,1,4,5,1,2,0,0,1,2,0,1
Krisztián Németh,0,0,108,3,2,0,2,3,0,1,1,0,1,2,0,0
David Edwards,0,0,108,1,0,0,2,0,0,0,0,0,0,2,0,1
Marc Janko,0,0,110,0,0,0,0,0,1,4,0,0,1,2,0,0
Jack Wilshere,0,0,112,6,6,0,10,5,4,1,0,0,0,1,0,0
Andy King,0,0,116,1,0,0,3,3,0,1,0,0,0,1,0,0
Roman Neustädter,0,0,125,0,0,0,3,2,0,0,0,0,0,2,1,0
Marcus Berg,0,0,127,1,2,2,2,3,1,2,1,0,0,5,1,0
Gabriel Torje,0,0,131,3,2,1,4,5,2,4,1,0,1,2,0,0
Stefan Ilsanker,0,0,132,1,1,0,6,2,0,1,1,0,0,2,1,0
Michal Ďuriš,0,0,133,3,0,0,0,1,1,1,0,0,0,6,0,0
Sebastian Prödl,0,0,135,3,2,0,6,2,0,0,0,0,0,0,0,0
Daryl Murphy,0,0,135,1,0,0,3,4,0,3,2,0,0,4,0,0
Andrei Prepeliţă,0,0,135,1,2,0,6,3,1,0,0,0,1,5,3,0
Ákos Elek,0,0,135,2,2,2,1,1,1,4,2,0,1,2,0,0
Mihai Pintilii,0,0,135,1,1,0,4,2,0,2,0,0,0,5,2,1
